positionx,positiony,positionz,velocityx,velocityy,velocityz
97702.22945275565,42317.31122418429,14662.631498583289,11.60740881189983,-95.0744703811049,-0.4959291337980366
97703.1580454606,42309.7052665538,14662.591824252584,11.60740881189983,-95.0744703811049,-0.4959291337980366
97704.08663816555,42302.09930892331,14662.55214992188,11.731551204873112,-96.09130130823462,-0.6559291337980366
97705.02516226194,42294.41200481865,14662.499675591176,11.875869332833465,-97.27338852550886,-0.9746214527414482
97705.97523180857,42286.63013373661,14662.421705874956,12.029684356350542,-98.53326332913868,-1.3498118428281358
97706.93760655707,42278.74747267028,14662.31372092753,12.152839276720256,-99.54200602259614,-1.779890473148486
97707.9098336992,42270.78411218847,14662.171329689678,12.342778679165596,-101.09776996480183,-2.296334624215203
97708.89725599354,42262.69629059129,14661.98762291974,12.505033366153159,-102.42677273210158,-2.688061895804021
97709.89765866283,42254.50214877272,14661.772577968075,12.730358691421682,-104.27237723440813,-3.014840899727617
97710.91608735814,42246.16035859397,14661.531390696096,12.753794878159576,-104.4643393749656,-3.2001083454371617
97711.9363909484,42237.80321144397,14661.275382028462,12.896687717799233,-105.63475227849536,-3.4361363629254127
97712.96812596582,42229.352431261694,14661.000491119428,13.030469061954008,-106.7305343473881,-3.577600077735147
97714.01056349078,42220.8139885139,14660.71428311321,13.155988300011646,-107.75864279728911,-3.582393264841407
97715.06304255479,42212.19329709012,14660.427691652023,13.417892055128721,-109.90385549825393,-3.669393475613499
97716.13647391919,42203.40098865026,14660.134140173974,13.600433698877433,-111.39902555585653,-3.8171602333515806
97717.22450861511,42194.48906660579,14659.828767355306,13.737244854350275,-112.51962433544568,-4.088125147294029
97718.32348820346,42185.487496658956,14659.501717343523,13.951219734244361,-114.27225911470276,-4.442124981828987
97719.4395857822,42176.34571592978,14659.146347344977,14.129693038623257,-115.73410604074482,-4.683356077191531
97720.56996122528,42167.08698744652,14658.771678858802,14.331841974398555,-117.38987636109721,-4.815285709750337
97721.71650858322,42157.695797337634,14658.386456002023,14.49574144662769,-118.73235130709483,-4.827846712732779
97722.87616789895,42148.19720923307,14658.000228265004,14.611696211207649,-119.68211865045774,-4.836889807929175
97724.04510359585,42138.622639741036,14657.613277080369,14.648181358672677,-119.98096278770032,-4.914963103936938
97725.21695810455,42129.02416271802,14657.220080032053,14.891027119359709,-121.97007443662804,-4.935818419642073
97726.40824027409,42119.26655676309,14656.825214558483,14.990563594469785,-122.7853621384785,-4.998005901031952
97727.60748536164,42109.443727792015,14656.4253740864,15.015087066483497,-122.98623006269766,-5.114690786950282
97728.80869232696,42099.604829387,14656.016198823445,15.09087206492283,-123.60697313345655,-5.309180338564959
97730.01596209215,42089.71627153632,14655.59146439636,15.15979826114661,-124.1715368278654,-5.458857736144009
97731.22874595303,42079.78254859009,14655.154755777468,15.22933692081495,-124.74111711456997,-5.728272727979875
97732.4470929067,42069.80325922093,14654.69649395923,15.354673338468414,-125.76772811113034,-5.926030485895193
97733.67546677378,42059.741840972034,14654.222411520359,15.620989114433929,-127.94907898490128,-6.210076792831678
97734.92514590293,42049.505914653244,14653.725605376932,15.829170677436803,-129.65426161147658,-6.523340626382786
97736.19147955712,42039.13357372433,14653.203738126822,15.938009764951959,-130.54574555677002,-6.990677062755849
97737.46652033832,42028.68991407978,14652.644483961802,16.071416580179886,-131.63845991779277,-7.528137874265337
97738.75223366474,42018.15883728636,14652.04223293186,16.148587892166304,-132.2705580660205,-8.096373030842516
97740.04412069611,42007.57719264108,14651.394523089393,16.324750884478505,-133.71348158721696,-8.813724033830125
97741.35010076687,41996.8801141141,14650.689425166687,16.443464480895905,-134.68584609072695,-9.54906722474805
97742.66557792533,41986.10524642684,14649.925499788707,16.697384068061552,-136.76566172058685,-10.212553064384581
97744.00136865077,41975.163993489194,14649.108495543556,16.73122124873252,-137.0428167759153,-10.860768588102085
97745.33986635067,41964.20056814712,14648.239634056508,16.891305431447982,-138.35404128215146,-11.39219821451777
97746.69117078518,41953.13224484455,14647.328258199346,16.945445548268214,-138.7974945124519,-11.87962846566989
97748.04680642905,41942.028445283555,14646.377887922092,16.974375697471135,-139.03445684040008,-12.339605840062138
97749.40475648484,41930.905688736326,14645.390719454886,17.130884615084785,-140.31639690929666,-12.857286721909084
97750.77522725405,41919.68037698358,14644.362136517133,17.304387174885974,-141.73752924384087,-13.350770892876925
97752.15957822805,41908.34137464408,14643.294074845702,17.54303602654323,-143.69226466722938,-13.872239741816783
97753.56302111017,41896.8459934707,14642.184295666357,17.712817158538495,-145.08291536858192,-14.32892159866224
97754.98004648284,41885.23936024121,14641.037981938463,17.987022162706737,-147.32888567682312,-14.671976351750462
97756.41900825586,41873.45304938707,14639.864223830324,18.26827063848112,-149.63254795951357,-15.054455838736837
97757.88046990694,41861.48244555031,14638.659867363225,18.549918520819606,-151.93948171891034,-15.55259278588054
97759.36446338861,41849.3272870128,14637.415659940354,18.581714813413782,-152.19992017916124,-16.207600742300663
97760.85100057369,41837.15129339846,14636.11905188097,18.76770082823312,-153.7233025415635,-16.726325484713055
97762.35241663994,41824.85342919514,14634.780945842194,18.8552034895513,-154.44002315652403,-17.34377060607158
97763.8608329191,41812.498227342614,14633.393444193709,19.07618702439703,-156.2500647324581,-17.844565199953152
97765.38692788106,41799.99822216402,14631.965878977713,19.295911972394165,-158.0497974203365,-18.403649364950223
97766.93060083885,41787.35423837039,14630.493587028517,19.299634922400134,-158.08029152163064,-18.910700963640753
97768.47457163264,41774.707815048656,14628.980730951425,19.498443542988525,-159.70870184265436,-19.3674526459542
97770.03444711608,41761.931118901244,14627.43133473975,19.571213803734086,-160.3047516684162,-19.72831695730692
97771.60014422037,41749.10673876777,14625.853069383165,19.613203555722624,-160.64868316048629,-20.20944575452262
97773.16920050482,41736.25484411493,14624.236313722804,19.816360209617716,-162.3127075423683,-20.735880524527975
97774.75450932159,41723.26982751154,14622.577443280841,19.866510936622316,-162.72348430456017,-21.24938920768281
97776.34383019652,41710.251948767174,14620.877492144227,19.957878783228683,-163.47186404776838,-21.684196720690927
97777.94046049919,41697.174199643356,14619.142756406573,20.163291339875062,-165.15436617630218,-22.13012329819295
97779.55352380637,41683.96185034925,14617.372346542717,20.308574901808928,-166.34436111227635,-22.58300105962685
97781.17820979851,41670.65430146027,14615.565706457948,20.470776395075802,-167.67292817812853,-23.05625519471739
97782.81587191012,41657.24046720602,14613.72120604237,20.578883866708168,-168.55841957213806,-23.392961939331304
97784.46218261945,41643.75579364025,14611.849769087223,20.63256379704894,-168.9981034869504,-23.594680816611866
97786.1127877232,41630.235945361295,14609.962194621894,20.806446479699655,-170.42234934831043,-23.888844402620464
97787.77730344159,41616.60215741343,14608.051087069683,20.80751976036572,-170.43114042240373,-24.259975225048144
97789.44190502242,41602.96766617963,14606.11028905168,20.826826659048717,-170.58928021025247,-24.656691639583617
97791.10805115514,41589.32052376281,14604.137753720514,20.901839863739,-171.203701639108,-25.033994132253376
97792.78019834423,41575.624227631684,14602.135034189932,21.107067722949225,-172.88469093982573,-25.512866095293386
97794.46876376207,41561.7934523565,14600.094004902308,21.256244997605986,-174.1065786678041,-26.035132894537917
97796.16926336188,41547.86492606308,14598.011194270744,21.476747248169374,-175.912678119446,-26.526323398780622
97797.88740314174,41533.791911813525,14595.889088398842,21.72982941660315,-177.9856345834309,-27.007477585561148
97799.62578949507,41519.55306104685,14593.728490191997,21.85082975914896,-178.97672946687135,-27.40702115465082
97801.3738558758,41505.2349226895,14591.535928499625,22.046613310901034,-180.58036192212504,-27.951436216807007
97803.13758494068,41490.78849373573,14589.29981360228,22.23806889531911,-182.14854467376486,-28.417174663863424
97804.9166304523,41476.21661016183,14587.026439629171,22.387924261225447,-183.3759865411268,-28.777396027882414
97806.7076643932,41461.546531238535,14584.72424794694,22.394510949321955,-183.42993707328168,-29.11602232782208
97808.49922526914,41446.87213627267,14582.394966160715,22.39987280988791,-183.47385523467554,-29.400093449381764
97810.29121509394,41432.1942278539,14580.042958684764,22.655529816163636,-185.5679017927639,-29.827128979665222
97812.10365747922,41417.34879571048,14577.65678836639,22.763547192604758,-186.45265523115128,-30.18901583425138
97813.92474125462,41402.432583291986,14575.24166709965,22.97587137247649,-188.1917693846661,-30.704536300903463
97815.76281096443,41387.37724174121,14572.785304195577,23.16537634682066,-189.7439749942321,-31.357464579536643
97817.61604107218,41372.19772374167,14570.276707029214,23.42310571055299,-191.85499590816679,-32.09785108765191
97819.48988952902,41356.84932406902,14567.708878942201,23.612106958020874,-193.4030755696633,-32.939919875872185
97821.37885808566,41341.37707802345,14565.073685352132,23.734580471925344,-194.40623696932406,-33.85997965770953
97823.27762452341,41325.824579065906,14562.364886979516,23.979353671774142,-196.41113597100778,-34.63831850793954
97825.19597281715,41310.111688188226,14559.59382149888,24.115026684393783,-197.52241240047215,-35.3349448814001
97827.1251749519,41294.30989519619,14556.767025908368,24.188764886351137,-198.1263904813306,-36.029812279079806
97829.0602761428,41278.45978395768,14553.884640926042,24.31391036236899,-199.15143750481363,-36.74971046265074
97831.0053889718,41262.5276689573,14550.944664089031,24.422374373826,-200.03984926077015,-37.49960242968671
97832.95917892171,41246.52448101644,14547.944695894656,24.640185746300258,-201.82390815079063,-38.40473612848367
97834.93039378141,41230.37856836437,14544.872317004378,24.816143097146785,-203.2651472949005,-39.43189135837997
97836.91568522918,41214.117356580784,14541.717765695706,25.079424838392796,-205.42164686475434,-40.3583007582085
97838.92203921625,41197.6836248316,14538.48910163505,25.19226289544498,-206.34588574415616,-41.18541771453947
97840.9374202479,41181.17595397207,14535.194268217887,25.462093034618672,-208.55602221737993,-41.96012735896076
97842.97438769066,41164.491472194684,14531.83745802917,25.488763775220377,-208.77447808280783,-42.70214895346069
97845.01348879267,41147.78951394806,14528.421286112893,25.519621780871898,-209.02723118144323,-43.516966534458255
97847.05505853514,41131.06733545355,14524.939928790136,25.5907540014368,-209.6098640762463,-44.227438707806776
97849.10231885526,41114.298546327445,14521.401733693512,25.864351067669354,-211.85085485992724,-44.77979459906533
97851.17146694068,41097.35047793865,14517.819350125586,25.88101575648988,-211.98735271998822,-45.199517846814636
97853.2419482012,41080.39148972105,14514.20338869784,26.023806512880395,-213.1569294755883,-45.67125620044044
97855.32385272224,41063.338935363005,14510.549688201805,26.070831278849894,-213.5421019797877,-46.06270780678622
97857.40951922454,41046.25556720462,14506.864671577263,26.09010580724256,-213.69997662765047,-46.49178284439078
97859.49672768913,41029.15956907441,14503.145328949711,26.311233803890705,-215.51120146761684,-46.97780339116154
97861.60162639344,41011.918672957,14499.387104678419,26.45296962410711,-216.67213740598848,-47.44507068066277
97863.71786396338,40994.58490196452,14495.591499023965,26.70337714061603,-218.723186214326,-47.76786116169203
97865.85413413463,40977.08704706737,14491.77007013103,26.91532228607987,-220.45919575628017,-48.03804855854961
97868.00735991751,40959.450311406865,14487.927026246345,27.01229836463184,-221.25351165032473,-48.34007417139183
97870.16834378667,40941.75003047484,14484.059820312634,27.188846674674178,-222.69959124879173,-48.5628723870004
97872.34345152065,40923.93406317494,14480.174790521674,27.417036968102316,-224.56866225726245,-48.90367203998859
97874.5368144781,40905.96857019435,14476.262496758476,27.42978397107446,-224.67307096519738,-49.12364130815581
97876.73119719578,40887.994724517135,14472.332605453823,27.658289947172953,-226.54472768105364,-49.33913755242613
97878.94386039156,40869.87114630265,14468.38547444963,27.671636710008396,-226.65404892823685,-49.47172268874751
97881.15759132836,40851.73882238839,14464.427736634529,27.672141451488567,-226.65818318676813,-49.53026776037086
97883.37136264448,40833.60616773345,14460.4653152137,27.87192142731213,-228.29454972662003,-49.57776040724375
97885.60111635867,40815.34260375532,14456.49909438112,27.91369641743208,-228.63672213780953,-49.65277906564516
97887.83421207206,40797.0516659843,14452.526872055869,27.94785969556481,-228.91654820645127,-49.838410977031415
97890.07004084771,40778.738342127785,14448.539799177706,28.147929021628666,-230.5552847688721,-49.987998839758255
97892.32187516944,40760.29391934627,14444.540759270525,28.171370287969694,-230.74728851566448,-50.137078147839105
97894.57558479247,40741.83413626502,14440.529793018697,28.175015953363772,-230.77714959078864,-50.324014582127795
97896.82958606874,40723.37196429775,14436.503871852126,28.241897968178414,-231.32496971494973,-50.5021036679854
97899.08893790618,40704.86596672056,14432.463703558687,28.387421803331435,-232.51693269128745,-50.637436270201384
97901.35993165046,40686.26461210525,14428.412708657072,28.398158109956352,-232.60487209988023,-50.773334788786364
97903.63178429926,40667.65622233726,14424.35084187397,28.546053712520937,-233.81626185218283,-50.778212777010296
97905.91546859626,40648.950921389085,14420.288584851809,28.59450139304902,-234.21308922701246,-50.81070451201499
97908.2030287077,40630.21387425093,14416.223728490848,28.86813820741939,-236.4544055814743,-50.913804428293176
97910.51247976431,40611.29752180441,14412.150624136584,29.160549940186492,-238.84950435645263,-51.149769035233334
97912.84532375952,40592.18956145589,14408.058642613765,29.341438262099697,-240,-51.32747300950169
97915.19263882049,40572.98956145589,14403.952444773005,29.442003686007062,-240,-51.375267426361404
97917.54799911537,40553.789561455895,14399.842423378897,29.517111718979844,-240,-51.57142558711731
97919.90936805289,40534.5895614559,14395.716709331928,29.74672394935493,-240,-51.740991698531005
97922.28910596884,40515.3895614559,14391.577429996045,29.88453222836558,-240,-52.06713148611425
97924.67986854711,40496.1895614559,14387.412059477156,30.001027517719038,-240,-52.40557755710826
97927.07995074854,40476.98956145591,14383.219613272588,30.257571264224566,-240,-52.661457900026086
97929.50055644967,40457.78956145591,14379.006696640585,30.409143207251958,-240,-53.01910741921435
97931.93328790624,40438.58956145591,14374.765168047048,30.41366509774171,-240,-53.44752289994092
97934.36638111406,40419.389561455915,14370.489366215053,30.466179674722245,-240,-53.82393997450172
97936.80367548803,40400.18956145592,14366.183451017094,30.568750993902924,-240,-54.261780146293894
97939.24917556754,40380.98956145592,14361.84250860539,30.810214499089067,-240,-54.554610862387655
97941.71399272747,40361.789561455924,14357.478139736399,30.99588862940043,-240,-54.81409952841003
97944.19366381782,40342.58956145593,14353.093011774126,31.282789705130618,-240,-55.071994933766916
97946.69628699422,40323.38956145593,14348.687252179425,31.35436098433211,-240,-55.181688333782056
97949.20463587297,40304.18956145593,14344.272717112723,31.542560551229744,-240,-55.29534646801111
97951.72804071708,40284.989561455935,14339.849089395282,31.77918293994576,-240,-55.3452522400569
97954.27037535227,40265.78956145594,14335.421469216077,31.97246194673883,-240,-55.354952439695424
97956.828172308,40246.58956145594,14330.993073020902,32.06069735582535,-240,-55.42171787818433
97959.39302809647,40227.389561455944,14326.559335590648,32.29799511435021,-240,-55.46990233494333
97961.97686770561,40208.18956145595,14322.121743403852,32.36963331125269,-240,-55.55627617559702
97964.56643837052,40188.98956145595,14317.677241309804,32.38812820826986,-240,-55.60700811752318
97967.15748862717,40169.78956145595,14313.228680660402,32.477799256844285,-240,-55.65026118192706
97969.75571256771,40150.589561455956,14308.776659765848,32.666352800604855,-240,-55.74309847950596
97972.36902079175,40131.38956145596,14304.317211887488,32.96528762398147,-240,-55.96331874834217
97975.00624380168,40112.18956145596,14299.840146387622,33.14357303693536,-240,-56.220755047892894
97977.65772964463,40092.989561455965,14295.34248598379,33.170731684579636,-240,-56.44441570395654
97980.3113881794,40073.78956145597,14290.826932727474,33.28318085456261,-240,-56.78942698643039
97982.97404264777,40054.58956145597,14286.283778568559,33.28378440161847,-240,-57.20635673497405
97985.6367453999,40035.38956145597,14281.707270029761,33.549189143417145,-240,-57.62379806272211
97988.32068053137,40016.189561455976,14277.097366184744,33.817008517608,-240,-58.11010150536854
97991.02604121278,39996.98956145598,14272.448558064314,33.90212018889169,-240,-58.49024904918613
97993.7382108279,39977.78956145598,14267.769338140379,33.9062711282957,-240,-58.92594825482577
97996.45071251816,39958.589561455985,14263.055262279993,33.944983597308905,-240,-59.51453307497727
97999.16631120595,39939.38956145599,14258.294099633995,34.05799502412212,-240,-60.13691109082816
98001.89095080788,39920.18956145599,14253.483146746728,34.15462428195434,-240,-60.65690422483781
98004.62332075044,39900.989561455994,14248.630594408742,34.393281520535346,-240,-61.12436741401378
98007.37478327208,39881.789561456,14243.740645015621,34.70558818231684,-240,-61.58232304398615
98010.15123032666,39862.589561456,14238.814059172102,35.00228157533865,-240,-62.02400354910404
98012.9514128527,39843.389561456,14233.852138888175,35.33274572884898,-240,-62.40729426602134
98015.778032511,39824.189561456005,14228.859555346893,35.34849341488881,-240,-62.655942635631654
98018.6059119842,39804.98956145601,14223.847079936042,35.41625540462781,-240,-62.8112020958533
98021.43921241656,39785.78956145601,14218.822183768374,35.63630780067562,-240,-62.88905483226292
98024.29011704061,39766.589561456014,14213.791059381792,35.78167028141224,-240,-63.07194558012165
98027.15265066312,39747.38956145602,14208.745303735383,35.83763120435075,-240,-63.40296975532966
98030.01966115947,39728.18956145602,14203.673066154955,36.15328859394573,-240,-63.82316369895976
98032.91192424699,39708.98956145602,14198.56721305904,36.28623563957961,-240,-64.37803946172446
98035.81482309816,39689.789561456026,14193.4169699021,36.48719526830064,-240,-65.07368674271497
98038.73379871962,39670.58956145603,14188.211074962683,36.779319481724414,-240,-65.84480954649314
