positionx,positiony,positionz,velocityx,velocityy,velocityz
-24211.12806745476,-86195.04650844511,14352.92096752192,-39.408553786249826,24.792753970645464,0.07134939991176759
-24214.28075175766,-86193.06308812746,14352.926675473915,-39.408553786249826,24.792753970645464,0.07134939991176759
-24217.433436060557,-86191.0796678098,14352.932383425908,-37.983066462274735,25.25592287893531,-0.08865060008823242
-24220.47208137754,-86189.05919397948,14352.925291377902,-37.232695736459135,25.80109912301059,-0.24072602003956928
-24223.450697036456,-86186.99510604964,14352.906033296298,-36.42297453290426,26.915584748205678,-0.28200175825831203
-24226.364534999087,-86184.84185926979,14352.883473155638,-36.41915015701426,26.927354966922316,-0.37855939799737204
-24229.278067011648,-86182.68767087243,14352.853188403798,-36.41915015701426,25.781896244517547,-0.5981952322173472
-24232.19159902421,-86180.62511917287,14352.805332785221,-36.390091334323444,24.764730697749073,-0.8304374588943894
-24235.102806330953,-86178.64394071704,14352.73889778851,-35.949927853855705,22.597609268224435,-1.1686058514667967
-24237.97880055926,-86176.83613197558,14352.645409320392,-35.23883182010162,21.298490412170523,-1.5556740645420095
-24240.79790710487,-86175.13225274261,14352.520955395228,-34.69479003505076,19.746905112325297,-2.082090231934573
-24243.573490307674,-86173.55250033362,14352.354388176673,-33.94000835040415,18.65470234200686,-2.694491841442392
-24246.288690975707,-86172.06012414626,14352.138828829356,-33.63017160513348,17.719050505224775,-3.3814324339833433
-24248.979104704118,-86170.64260010584,14351.868314234638,-33.606580155847666,17.326123217598514,-3.999377720964655
-24251.667631116587,-86169.25651024844,14351.54836401696,-33.87460399130086,15.783198237157105,-4.508935376622388
-24254.37759943589,-86167.99385438947,14351.187649186832,-34.00318101584174,15.23701752375738,-5.041032366826672
-24257.09785391716,-86166.77489298757,14350.784366597485,-34.04447789706629,14.890604965044087,-5.657277169946075
-24259.821412148925,-86165.58364459037,14350.33178442389,-34.056039274871274,14.596435581623714,-6.170166271940894
-24262.545895290914,-86164.41592974385,14349.838171122135,-33.951244254169076,14.156030668521106,-6.670782226705152
-24265.261994831246,-86163.28344729036,14349.304508543999,-33.759550553876444,12.570095521627383,-7.080595479591935
-24267.962758875557,-86162.27783964864,14348.73806090563,-33.709200102349634,10.71070475432982,-7.342352276112569
-24270.659494883745,-86161.4209832683,14348.150672723541,-33.28013292218814,8.751245686286698,-7.555822752028498
-24273.32190551752,-86160.7208836134,14347.546206903378,-32.74156183086255,7.733964486827783,-7.817929040288016
-24275.94123046399,-86160.10216645445,14346.920772580155,-32.549518449203816,7.422421322309646,-8.129728554072738
-24278.545191939927,-86159.50837274866,14346.270394295829,-31.69981496102711,5.6312385310383,-8.587902997543075
-24281.08117713681,-86159.05787366618,14345.583362056026,-31.624242302248188,5.270172075280527,-9.05898904052468
