positionx,positiony,positionz,velocityx,velocityy,velocityz
62163.99812458825,38614.5599969663,17562.75483005691,-11.462759756792678,62.00464845103133,1.1417765677925644
62163.08110380771,38619.520368842386,17562.846172182333,-11.462759756792678,62.00464845103133,1.1417765677925644
62162.164083027164,38624.48074071847,17562.937514307756,-11.06831039585526,61.973855155551966,0.9817765677925644
62161.278618195494,38629.43864913091,17563.016056433178,-9.161431240202457,61.70039929498442,0.6742979394673418
62160.545703696276,38634.374681074514,17563.070000268337,-8.708986363491492,61.771633706783504,0.353001576150381
62159.8489847872,38639.316411771055,17563.09824039443,-7.531093488533563,61.596393373162414,0.17426149990581105
62159.246497308115,38644.24412324091,17563.11218131442,-5.490794673199959,60.821731409803256,-0.08096633815923357
62158.80723373426,38649.10986175369,17563.10570400737,-4.675144172910657,60.48248181597226,-0.3959153788283607
62158.43322220043,38653.94846029897,17563.07403077706,-4.55201524111296,60.40020574399428,-0.6413428669194281
62158.06906098114,38658.78047675849,17563.02272334771,-3.2826998215739573,60.02279020762331,-0.8947301718165248
62157.80644499542,38663.582299975096,17562.951144933962,-1.8929823423179923,59.687835766754006,-1.227937457673778
62157.65500640803,38668.357326836434,17562.852909937348,-1.051251652360263,59.69925892054514,-1.6175371761386184
62157.57090627584,38673.133267550074,17562.72350696326,-0.3766152871772792,59.5313260713951,-1.848022089944385
62157.54077705287,38677.895773635784,17562.575665196062,1.1293422986670816,58.811308780064635,-1.9977479453848277
62157.63112443676,38682.60067833819,17562.415845360432,1.696639321621865,58.58985649277166,-2.2050376822342677
62157.76685558249,38687.28786685761,17562.239442345854,1.9462656569948171,58.48498042878799,-2.3633457085471146
62157.92255683505,38691.96666529191,17562.05037468917,3.065996046939807,57.82185991453453,-2.455931657745072
62158.167836518805,38696.59241408508,17561.85390015655,4.630495394743861,57.157856688453776,-2.706091527558758
62158.538276150386,38701.16504262015,17561.637412834345,5.892720781861425,56.994254262468466,-3.1112513587819173
62159.009693812935,38705.72458296115,17561.388512725644,8.035051766574195,56.33084290353126,-3.451354403164653
62159.65249795426,38710.231050393435,17561.11240437339,8.526809762757683,56.138544527500734,-3.894824417291379
62160.33464273528,38714.722133955634,17560.800818420008,10.238620819091562,55.13391505147934,-4.2756460596864585
62161.15373240081,38719.13284715975,17560.45876673523,10.531313923720102,54.87237710666963,-4.812336485705821
62161.99623751471,38723.522637328286,17560.073779816375,11.56414204737572,53.754771755620936,-5.272856316361288
62162.921368878495,38727.82301906874,17559.651951311065,12.120290834028713,53.11019926800572,-5.730115914336315
62163.890992145214,38732.07183501018,17559.19354203792,12.397798220630587,52.85459540564715,-6.307216508334661
62164.882816002864,38736.30020264263,17558.688964717254,13.917448188626885,51.54680284567769,-6.76826680470878
62165.99621185796,38740.42394687029,17558.14750337288,15.872363264838167,50.49580640764109,-7.2207882233639324
62167.266000919146,38744.4636113829,17557.56984031501,16.349382017069512,50.38633138441864,-7.751506135812356
62168.57395148051,38748.49451789365,17556.949719824144,16.372279897240183,50.386760434843765,-8.33329927396761
62169.88373387229,38752.525458728436,17556.283055882228,17.3457949326144,50.30212622286336,-8.87846162824166
62171.271397466895,38756.549628826266,17555.57277895197,19.102068090433505,49.88303252430148,-9.438005836102777
62172.79956291413,38760.54027142821,17554.817738485082,20.542779531397255,49.18382900896333,-9.876007760634213
62174.44298527664,38764.47497774893,17554.027657864233,21.279101043834878,48.691209469450605,-10.248880803062228
62176.145313360146,38768.37027450648,17553.20774739999,22.689945934168183,48.18006226892157,-10.694564686817705
62177.96050903488,38772.224679488,17552.352182225044,23.611016830785726,47.759241205580835,-11.151276934500164
62179.84939038134,38776.045418784444,17551.460080070283,24.08767880795154,47.61023507462858,-11.711201887866668
62181.77640468598,38779.854237590414,17550.523183919253,25.95619058188459,46.47935328933337,-12.119530180040595
62183.852899932535,38783.57258585356,17549.55362150485,27.191627242519818,45.10317785492234,-12.552550567895942
62186.02823011194,38787.18084008195,17548.549417459417,28.103963694331345,44.39653100868675,-12.90194389230864
62188.27654720748,38790.73256256265,17547.517261948033,28.9091779759243,43.847399793714736,-13.262265708393777
62190.58928144556,38794.24035454614,17546.45628069136,29.036903810451324,43.79726843379734,-13.557240961226526
62192.912233750394,38797.74413602085,17545.37170141446,29.856977583898736,43.18525580094865,-13.916529834763807
62195.3007919571,38801.19895648492,17544.25837902768,30.727251509935243,42.44067648869452,-14.30996150539915
62197.7589720779,38804.59421060402,17543.11358210725,30.882070191625395,42.19268387796874,-14.76671464968306
62200.22953769323,38807.969625314254,17541.932244935273,31.508488753813662,41.25776258171393,-15.346900350906624
62202.75021679354,38811.27024632079,17540.7044929072,32.27528190212501,39.19886556792789,-15.92948482031281
