positionx,positiony,positionz,velocityx,velocityy,velocityz
-9104.715804661784,-63290.0444437035,9863.625475658888,-103.30052578850143,-59.897611125508085,-0.8807651033602338
-9112.979846724864,-63294.83625259354,9863.55501445062,-103.30052578850143,-59.897611125508085,-0.8807651033602338
-9121.243888787943,-63299.62806148358,9863.484553242351,-103.47778263849843,-60.00039145299829,-0.7207651033602338
-9129.522111399023,-63304.42809279982,9863.426892034082,-105.25361020616711,-61.030084460485526,-0.5532405543163392
-9137.942400215516,-63309.31049955666,9863.382632789737,-106.77424528331795,-61.911807063732205,-0.2633835388381709
-9146.484339838182,-63314.26344412176,9863.36156210663,-106.84767142198729,-61.954382358164565,-0.11789667883986671
-9155.032153551942,-63319.219794710414,9863.352130372323,-108.37732348228786,-62.841333354452864,0.07431069433539586
-9163.702339430525,-63324.24710137877,9863.35807522787,-110.25493280380346,-63.9300433307799,0.12070044711336954
-9172.52273405483,-63329.361504845234,9863.36773126364,-111.83386158137365,-64.84556685974437,0.2460566161079188
-9181.469442981339,-63334.54915019401,9863.387415792928,-112.85411554607397,-65.43714928161893,0.49551227655426433
-9190.497772225024,-63339.784122136545,9863.427056775052,-113.4904990202333,-65.80614885418585,0.6170534020210271
-9199.577012146643,-63345.04861404488,9863.476421047213,-113.73564460222691,-65.94829367510819,0.7342899424017073
-9208.675863714821,-63350.32447753889,9863.535164242605,-114.80678690123439,-66.5693831070961,0.876261444167423
-9217.86040666692,-63355.650028187454,9863.605265158138,-115.75785483696487,-67.12084881294312,0.9119481535426122
-9227.121035053877,-63361.01969609249,9863.678221010421,-116.75591052755054,-67.69955982317262,1.0530577450324485
-9236.461507896081,-63366.43566087834,9863.762465630023,-117.38785175967398,-68.06598361324511,1.235481626781499
-9245.852536036855,-63371.8809395674,9863.861304160166,-118.29075831155197,-68.58952349955497,1.5489081939769518
-9255.31579670178,-63377.36810144737,9863.985216815683,-119.96769589716082,-69.56187629851553,1.9174714568492939
-9264.913212373553,-63382.93305155125,9864.13861453223,-121.60219085619147,-70.509619232981,2.4118007163988455
-9274.641387642048,-63388.573821089885,9864.331558589542,-123.46346987459144,-71.58886027255176,2.8801599923979833
-9284.518465232015,-63394.30092991169,9864.561971388934,-125.45755476105282,-72.74510725356966,3.43790167019542
-9294.5550696129,-63400.120538491974,9864.837003522549,-127.27683118450081,-73.79999357587744,3.940609634964429
-9304.73721610766,-63406.024537978046,9865.152252293346,-127.78319745686521,-74.0936041827707,4.540223107138683
-9314.95987190421,-63411.95202631267,9865.515470141918,-128.72446655771827,-74.63938814792482,5.0832740630757645
-9325.257829228827,-63417.9231773645,9865.922132066964,-129.71748670841862,-75.21517935878681,5.656388011117042
-9335.6352281655,-63423.9403917132,9866.374643107853,-130.62656683890472,-75.74229892301118,6.3796910116055185
