positionx,positiony,positionz,velocityx,velocityy,velocityz
-93229.55757753897,70871.1474329549,9000.0,-95.01525629785063,-77.13511690119837,-0.665818203471367
-93237.1587980428,70864.9766236028,8999.946734543722,-95.01525629785063,-77.13511690119837,-0.665818203471367
-93244.76001854663,70858.80581425069,8999.893469087445,-94.44016782081218,-77.02900058571535,-0.505818203471367
-93252.31523197229,70852.64349420383,8999.853003631168,-93.49294151344037,-77.08324703874567,-0.44054169146084265
-93259.79466729336,70846.47683444073,8999.817760295851,-93.0882146256639,-77.12715219400232,-0.29690524102137533
-93267.24172446341,70840.30666226521,8999.79400787657,-93.06048281239312,-77.13693281520045,-0.09083772229013648
-93274.6865630884,70834.13570764,8999.786740858786,-91.23417149124091,-78.18081507783188,0.08791929401248705
-93281.9852968077,70827.88124243378,8999.793774402307,-90.20023438976214,-78.87115513639485,0.35168846112148056
-93289.20131555888,70821.57155002287,8999.821909479197,-88.75657300154174,-80.1805696818361,0.5643406704175408
-93296.301841399,70815.15710444833,8999.86705673283,-88.61728066073967,-80.28801332616436,0.773601513417538
-93303.39122385187,70808.73406338223,8999.928944853904,-87.52877392651418,-81.28611301826581,1.136765147765738
-93310.39352576599,70802.23117434078,9000.019886065726,-87.38558028854091,-81.46479038829933,1.4281182992875294
-93317.38437218907,70795.71399110972,9000.134135529668,-86.59486189090234,-82.70526955153923,1.671895069753127
-93324.31196114035,70789.0975695456,9000.26788713525,-86.49604707681108,-82.85149036246258,1.9883320704398821
-93331.2316449065,70782.46945031661,9000.426953700884,-86.33706224456182,-82.99472297597389,2.1822839444406688
-93338.13860988607,70775.82987247853,9000.60153641644,-85.78011983141764,-83.8287595111752,2.2169032158779114
-93345.00101947258,70769.12357171763,9000.778888673709,-85.62569079955145,-84.03649221046561,2.386424677046631
-93351.85107473654,70762.40065234079,9000.969802647873,-85.53085073803022,-84.1897832758817,2.6584385630049336
-93358.69354279558,70755.66546967872,9001.182477732913,-84.75961390113812,-85.95871304056591,3.0484365982536534
-93365.47431190767,70748.78877263547,9001.426352660774,-83.92935721457238,-87.55118570711724,3.5262499905909133
-93372.18866048484,70741.7846777789,9001.708452660021,-83.62770349308734,-88.48702222339756,4.002474636168082
-93378.87887676428,70734.70571600103,9002.028650630915,-82.36626869506152,-90.35781517573083,4.634633859919892
-93385.4681782599,70727.47709078697,9002.399421339709,-81.6583348635416,-91.16101769881477,5.276462764450695
-93392.00084504897,70720.18420937106,9002.821538360866,-80.86422474001147,-92.54538903457718,6.018275611585122
-93398.46998302818,70712.78057824829,9003.303000409793,-80.64118581856279,-92.83842962575817,6.628613649005147
-93404.92127789366,70705.35350387823,9003.833289501714,-79.12588776450265,-94.05129296281189,7.179660586267525
-93411.25134891483,70697.8294004412,9004.407662348614,-79.02684361651552,-94.11861085753209,7.68915594974678
-93417.57349640415,70690.2999115726,9005.022794824594,-77.82587381593117,-94.74879360034845,8.215165729521386
-93423.79956630942,70682.72000808457,9005.680008082956,-76.84057503564563,-95.63729164007282,8.863095686750999
-93429.94681231226,70675.06902475336,9006.389055737896,-76.61588070040102,-95.86397427421284,9.51755492191788
-93436.0760827683,70667.39990681142,9007.15046013165,-76.20380555998045,-96.30404706376119,10.253674786921431
-93442.1723872131,70659.69558304633,9007.970754114604,-75.0457110322286,-96.9612911057849,10.92991078202452
-93448.17604409567,70651.93867975786,9008.845146977166,-74.5449492421739,-97.21082132922807,11.676699305546085
-93454.13964003505,70644.16181405152,9009.77928292161,-73.60032514405704,-97.8189699266467,12.402773049283415
-93460.02766604658,70636.33629645739,9010.771504765553,-73.28248889701032,-97.98094454129766,13.058015258878289
-93465.89026515833,70628.49782089409,9011.816145986264,-72.09079975239989,-98.20383928584505,13.80907238849763
-93471.65752913852,70620.64151375122,9012.920871777344,-72.00692409454074,-98.19714670758563,14.603466805917849
-93477.41808306609,70612.78574201462,9014.089149121817,-70.91759573951695,-98.15304409606856,15.351133495181456
-93483.09149072526,70604.93349848693,9015.317239801432,-70.05639521872834,-98.27289208984665,16.20186610750435
-93488.69600234275,70597.07166711974,9016.613389090033,-68.64125069897862,-98.25061407392305,17.109788209809675
-93494.18730239867,70589.21161799383,9017.982172146818,-68.20135255383329,-98.26619217773424,18.10986192029116
